anio,mes,region,prov,HIDRO <=50MW,energia_gen
2011,4,7,18,True,1.3
2011,4,1,4,True,2.8
2011,4,3,9,True,8.2
2011,4,1,4,True,3.8
2011,4,7,19,True,8.3
2011,4,3,14,True,4.1
2011,4,1,4,True,5.0
2011,4,7,18,True,11.9
2011,4,7,6,True,0.7
2011,4,2,12,True,0.0
2011,4,5,17,True,0.0
2011,4,3,9,True,1.4
2011,4,1,4,True,3.6
2011,4,7,13,True,6.4
2011,4,3,14,True,9.6
2011,5,8,3,True,7.7
2011,5,3,9,True,0.0
2011,5,7,19,True,3.4
2011,5,1,4,True,0.7
2011,5,3,9,True,0.3
2011,5,1,4,True,3.5
2011,5,1,4,True,0.0
2011,5,3,9,True,1.1
2011,5,3,14,True,1.1
2011,5,7,19,True,6.6
2011,5,3,9,True,1.7
2011,5,1,4,True,3.5
2011,5,7,6,True,8.8
2011,5,1,4,True,0.0
2011,5,7,18,True,1.2
2011,5,1,4,True,2.5
2011,5,3,9,True,0.0
2011,5,1,4,True,2.7
2011,5,7,19,True,5.2
2011,5,3,14,True,1.2
2011,5,1,4,True,2.5
2011,5,7,18,True,13.3
2011,5,7,6,True,3.6
2011,5,2,12,True,0.0
2011,5,5,17,True,0.0
2011,5,3,9,True,0.7
2011,5,1,4,True,3.2
2011,5,7,13,True,7.3
2011,5,3,14,True,5.6
2011,6,8,3,True,5.7
2011,6,3,9,True,0.0
2011,6,7,19,True,3.0
2011,6,1,4,True,0.6
2011,6,3,9,True,0.0
2011,6,1,4,True,2.9
2011,6,1,4,True,0.0
2011,6,3,9,True,0.0
2011,6,3,14,True,0.0
2011,6,7,19,True,3.7
2011,6,3,9,True,0.0
2011,6,1,4,True,2.9
2011,6,7,6,True,7.3
2011,6,1,4,True,0.0
2011,6,7,18,True,0.3
2011,6,1,4,True,1.0
2011,6,3,9,True,0.0
2011,6,1,4,True,1.8
2011,6,7,19,True,3.8
2011,6,3,14,True,0.4
2011,6,1,4,True,2.1
2011,6,7,18,True,12.6
2011,6,7,6,True,2.6
2011,6,2,12,True,0.0
2011,6,5,17,True,0.0
2011,6,3,9,True,0.5
2011,6,1,4,True,2.7
2011,6,7,13,True,6.9
2011,6,3,14,True,2.3
2011,7,8,3,True,5.5
2011,7,3,9,True,0.0
2011,7,7,19,True,3.1
2011,7,1,4,True,0.6
2011,7,3,9,True,0.0
2011,7,1,4,True,2.7
2011,7,1,4,True,0.0
2011,7,3,9,True,0.0
2011,7,3,14,True,0.5
2011,7,7,19,True,3.9
2011,7,3,9,True,0.0
2011,7,1,4,True,2.7
2011,7,7,6,True,5.5
2011,7,1,4,True,0.0
2011,7,7,18,True,0.3
2011,7,1,4,True,1.1
2011,7,3,9,True,0.0
2011,7,1,4,True,1.8
2011,7,7,19,True,2.9
2011,7,3,14,True,0.7
2011,7,1,4,True,1.9
2011,7,7,18,True,13.0
2011,7,7,6,True,2.2
2011,7,2,12,True,0.0
2011,7,5,17,True,0.0
2011,7,3,9,True,0.5
2011,7,1,4,True,2.7
2011,7,7,13,True,6.7
2011,7,3,14,True,2.0
2011,8,8,3,True,5.7
2011,8,3,9,True,0.0
2011,8,7,19,True,3.4
2011,8,1,4,True,0.6
2011,8,3,9,True,3.3
2011,8,1,4,True,2.7
2011,8,1,4,True,0.0
2011,8,3,9,True,0.8
2011,8,3,14,True,1.3
2011,8,7,19,True,5.5
2011,8,3,9,True,1.2
2011,8,1,4,True,2.7
2011,8,7,6,True,6.5
2011,8,1,4,True,0.0
2011,8,7,18,True,1.3
2011,8,1,4,True,1.2
2011,8,3,9,True,1.3
2011,8,1,4,True,1.7
2011,8,7,19,True,1.0
2011,8,3,14,True,2.7
