anio,mes,region,prov,EOLICO,energia_gen
2015,12,8,3,True,2.8
2015,12,8,3,True,16.4
2015,12,0,0,True,0.0
2015,12,8,3,True,16.4
2015,12,8,3,True,10.0
2015,12,8,3,True,0.4
2016,1,7,8,True,3.2
2016,1,7,8,True,5.5
2016,1,8,3,True,1.6
2016,1,8,3,True,15.3
2016,1,0,0,True,0.0
2016,1,8,3,True,14.3
2016,1,8,3,True,8.7
2016,1,8,3,True,0.4
2016,2,7,8,True,3.2
2016,2,7,8,True,5.1
2016,2,8,3,True,2.1
2016,2,8,3,True,12.9
2016,2,0,0,True,0.0
2016,2,8,3,True,12.8
2016,2,8,3,True,7.9
2016,2,8,3,True,0.6
2016,3,7,8,True,3.0
2016,3,7,8,True,4.6
2016,3,8,3,True,1.9
2016,3,8,3,True,16.6
2016,3,0,0,True,0.0
2016,3,8,3,True,13.9
2016,3,8,3,True,9.0
2016,3,8,3,True,1.0
2016,4,7,8,True,3.0
2016,4,7,8,True,5.4
2016,4,8,3,True,1.5
2016,4,8,3,True,16.7
2016,4,0,0,True,0.0
2016,4,8,3,True,14.9
2016,4,8,3,True,9.2
2016,4,8,3,True,0.6
2016,5,7,8,True,2.8
2016,5,7,8,True,5.0
2016,5,8,3,True,0.5
2016,5,8,3,True,10.4
2016,5,0,0,True,0.0
2016,5,8,3,True,8.9
2016,5,8,3,True,6.0
2016,5,8,3,True,0.1
2016,6,7,8,True,1.9
2016,6,7,8,True,3.2
2016,6,8,3,True,2.0
2016,6,8,3,True,13.5
2016,6,0,0,True,0.0
2016,6,8,3,True,12.7
2016,6,8,3,True,7.8
2016,6,8,3,True,1.0
2016,7,7,8,True,2.1
2016,7,7,8,True,3.9
2016,7,8,3,True,1.8
2016,7,8,3,True,12.4
2016,7,0,0,True,0.0
2016,7,8,3,True,12.4
2016,7,8,3,True,7.8
2016,7,8,3,True,0.5
2016,8,7,8,True,2.2
2016,8,7,8,True,4.3
2016,8,8,3,True,1.9
2016,8,8,3,True,14.9
2016,8,0,0,True,0.0
2016,8,8,3,True,13.4
2016,8,8,3,True,8.0
2016,8,8,3,True,0.5
2016,9,7,8,True,2.5
2016,9,7,8,True,5.4
2016,9,8,3,True,1.4
2016,9,8,3,True,14.2
2016,9,0,0,True,0.0
2016,9,8,3,True,12.8
2016,9,8,3,True,8.1
2016,9,8,3,True,0.5
2016,10,7,8,True,3.2
2016,10,7,8,True,7.1
2016,10,8,3,True,1.8
2016,10,8,3,True,12.8
2016,10,0,0,True,0.0
2016,10,8,3,True,11.8
2016,10,8,3,True,7.6
2016,10,8,3,True,0.3
2016,11,7,8,True,2.3
2016,11,7,8,True,6.2
2016,11,8,3,True,1.8
2016,11,8,3,True,13.7
2016,11,0,0,True,0.0
2016,11,8,3,True,13.5
2016,11,8,3,True,8.2
2016,11,8,3,True,0.3
2016,12,7,8,True,2.1
2016,12,7,8,True,5.9
2016,12,8,3,True,2.6
2016,12,8,3,True,16.5
2016,12,0,0,True,0.0
2016,12,8,3,True,17.3
2016,12,8,3,True,10.3
2016,12,8,3,True,0.2
2017,1,7,8,True,1.9
2017,1,7,8,True,5.5
2017,1,8,3,True,3.4
2017,1,7,18,True,0.6
2017,1,8,3,True,16.8
2017,1,0,0,True,0.0
2017,1,8,3,True,17.1
2017,1,8,3,True,10.7
2017,1,8,3,True,0.6
2017,2,7,8,True,1.8
2017,2,7,8,True,4.6
2017,2,8,3,True,2.0
2017,2,7,18,True,0.5
2017,2,8,3,True,14.2
2017,2,0,0,True,0.0
2017,2,8,3,True,11.1
2017,2,8,3,True,7.3
2017,2,8,3,True,0.4
2017,3,7,8,True,2.1
2017,3,7,8,True,5.1
2017,3,8,3,True,1.7
2017,3,7,18,True,0.3
2017,3,8,3,True,13.3
2017,3,0,0,True,0.0
2017,3,8,3,True,12.9
2017,3,8,3,True,8.2
2017,3,8,3,True,0.3
2017,4,7,8,True,1.8
2017,4,7,8,True,4.4
2017,4,8,3,True,2.2
2017,4,7,18,True,0.5
2017,4,8,3,True,14.2
2017,4,0,0,True,0.0
2017,4,8,3,True,14.3
2017,4,8,3,True,8.8
2017,4,8,3,True,0.0
2017,5,7,8,True,1.5
2017,5,7,8,True,3.9
