anio,mes,region,prov,SOLAR,energia_gen
2016,8,3,14,True,0.3
2016,8,3,14,True,0.3
2016,8,3,14,True,0.5
2016,8,3,14,True,0.0
2016,8,3,14,True,0.2
2016,9,3,14,True,0.3
2016,9,3,14,True,0.3
2016,9,3,14,True,0.5
2016,9,3,14,True,0.0
2016,9,3,14,True,0.2
2016,10,3,14,True,0.3
2016,10,3,14,True,0.4
2016,10,3,14,True,0.5
2016,10,3,14,True,0.0
2016,10,3,14,True,0.2
2016,11,3,14,True,0.3
2016,11,3,14,True,0.4
2016,11,3,14,True,0.5
2016,11,3,14,True,0.0
2016,11,3,14,True,0.2
2016,12,3,14,True,0.3
2016,12,3,14,True,0.4
2016,12,3,14,True,0.5
2016,12,3,14,True,0.0
2016,12,3,14,True,0.2
2017,1,3,14,True,0.4
2017,1,3,14,True,0.4
2017,1,3,14,True,0.5
2017,1,3,14,True,0.0
2017,1,3,14,True,0.2
2017,2,3,14,True,0.3
2017,2,3,14,True,0.3
2017,2,3,14,True,0.4
2017,2,3,14,True,0.0
2017,2,3,14,True,0.2
2017,3,3,14,True,0.3
2017,3,3,14,True,0.4
2017,3,3,14,True,0.5
2017,3,3,14,True,0.0
2017,3,3,14,True,0.2
2017,4,3,14,True,0.3
2017,4,3,14,True,0.3
2017,4,3,14,True,0.4
2017,4,3,14,True,0.0
2017,4,3,14,True,0.2
2017,5,3,14,True,0.3
2017,5,3,14,True,0.3
2017,5,3,14,True,0.4
2017,5,3,14,True,0.0
2017,5,3,14,True,0.1
2017,6,3,14,True,0.3
2017,6,3,14,True,0.3
2017,6,3,14,True,0.4
2017,6,3,14,True,0.0
2017,6,3,14,True,0.2
2017,7,3,14,True,0.3
2017,7,3,14,True,0.3
2017,7,3,14,True,0.4
2017,7,3,14,True,0.0
2017,7,3,14,True,0.2
2017,8,3,14,True,0.3
2017,8,3,14,True,0.3
2017,8,3,14,True,0.5
2017,8,3,14,True,0.0
2017,8,3,14,True,0.2
2017,9,3,14,True,0.4
2017,9,3,14,True,0.3
2017,9,3,14,True,0.5
2017,9,3,14,True,0.0
2017,9,3,14,True,0.2
2017,10,3,14,True,0.4
2017,10,3,14,True,0.4
2017,10,3,14,True,0.6
2017,10,3,14,True,0.0
2017,10,3,14,True,0.2
2017,11,3,14,True,0.4
2017,11,3,14,True,0.4
2017,11,3,14,True,0.6
2017,11,3,14,True,0.0
2017,11,3,14,True,0.3
2017,12,3,14,True,0.4
2017,12,3,14,True,0.4
2017,12,3,14,True,0.6
