anio,mes,region,prov,BIODIESEL,energia_gen
2016,7,3,14,True,0.0
2016,7,3,14,True,0.0
2016,7,3,14,True,0.0
2016,7,5,0,True,0.0
2016,7,5,17,True,0.0
2016,8,5,0,True,0.0
2016,8,5,0,True,0.0
2016,8,4,0,True,0.0
2016,8,4,0,True,0.0
2016,8,3,9,True,0.0
2016,8,3,9,True,0.0
2016,8,4,0,True,0.0
2016,8,4,0,True,0.0
2016,8,4,0,True,0.0
2016,8,4,0,True,0.0
2016,8,3,14,True,0.0
2016,8,3,14,True,0.0
2016,8,3,14,True,0.0
2016,8,5,0,True,0.0
2016,8,5,17,True,0.0
2016,9,5,0,True,0.0
2016,9,5,0,True,0.0
2016,9,4,0,True,0.0
2016,9,4,0,True,0.0
2016,9,3,9,True,0.0
2016,9,3,9,True,0.0
2016,9,4,0,True,0.0
2016,9,4,0,True,0.0
2016,9,4,0,True,0.0
2016,9,4,0,True,0.0
2016,9,3,14,True,0.0
2016,9,3,14,True,0.0
2016,9,3,14,True,0.0
2016,9,5,0,True,0.0
2016,9,5,17,True,0.0
2016,10,5,0,True,0.0
2016,10,5,0,True,0.0
2016,10,4,0,True,0.0
2016,10,4,0,True,0.0
2016,10,3,9,True,0.0
2016,10,3,9,True,0.0
2016,10,4,0,True,0.0
2016,10,4,0,True,0.0
2016,10,4,0,True,0.0
2016,10,4,0,True,0.0
2016,10,3,14,True,0.0
2016,10,3,14,True,0.0
2016,10,3,14,True,0.0
2016,10,5,0,True,0.0
2016,10,5,17,True,0.0
2016,11,5,0,True,0.0
2016,11,5,0,True,0.0
2016,11,4,0,True,0.0
2016,11,4,0,True,0.0
2016,11,3,9,True,0.0
2016,11,3,9,True,0.0
2016,11,4,0,True,0.0
2016,11,4,0,True,0.0
2016,11,4,0,True,0.0
2016,11,4,0,True,0.0
2016,11,3,14,True,0.0
2016,11,3,14,True,0.0
2016,11,3,14,True,0.0
2016,11,5,0,True,0.0
2016,11,5,17,True,0.0
2016,12,5,0,True,0.0
2016,12,5,0,True,0.0
2016,12,4,0,True,0.0
2016,12,4,0,True,0.0
2016,12,3,9,True,0.0
2016,12,3,9,True,0.0
2016,12,4,0,True,0.0
2016,12,4,0,True,0.0
2016,12,4,0,True,0.0
2016,12,4,0,True,0.0
2016,12,3,14,True,0.0
2016,12,3,14,True,0.0
2016,12,3,14,True,0.0
2016,12,5,0,True,0.0
2016,12,5,17,True,0.0
2017,1,5,0,True,0.0
2017,1,5,0,True,0.0
2017,1,4,0,True,0.0
2017,1,4,0,True,0.0
2017,1,3,9,True,0.0
2017,1,3,9,True,0.0
2017,1,4,0,True,0.0
2017,1,4,0,True,0.0
2017,1,4,0,True,0.0
2017,1,4,0,True,0.0
2017,1,3,14,True,0.0
2017,1,3,14,True,0.0
2017,1,3,14,True,0.0
2017,1,5,0,True,0.0
2017,1,5,17,True,0.0
2017,2,5,0,True,0.0
2017,2,5,0,True,0.0
2017,2,4,0,True,0.0
2017,2,4,0,True,0.0
2017,2,3,9,True,0.0
2017,2,3,9,True,0.0
2017,2,4,0,True,0.0
2017,2,4,0,True,0.0
2017,2,4,0,True,0.0
2017,2,4,0,True,0.0
2017,2,3,14,True,0.0
2017,2,3,14,True,0.0
2017,2,3,14,True,0.0
2017,2,5,0,True,0.0
2017,2,5,17,True,0.0
2017,3,5,0,True,0.0
2017,3,5,0,True,0.0
2017,3,4,0,True,0.0
2017,3,4,0,True,0.0
2017,3,3,9,True,0.0
2017,3,3,9,True,0.0
2017,3,4,0,True,0.0
2017,3,4,0,True,0.0
2017,3,4,0,True,0.0
2017,3,4,0,True,0.0
2017,3,3,14,True,0.0
2017,3,3,14,True,0.0
2017,3,3,14,True,0.0
2017,3,5,0,True,0.0
2017,3,5,17,True,0.0
2017,4,5,0,True,0.0
2017,4,5,0,True,0.0
2017,4,4,0,True,0.0
2017,4,4,0,True,0.0
2017,4,3,9,True,0.0
2017,4,3,9,True,0.0
2017,4,4,0,True,0.0
2017,4,4,0,True,0.0
2017,4,4,0,True,0.0
2017,4,4,0,True,0.0
2017,4,3,14,True,0.0
2017,4,3,14,True,0.0
2017,4,3,14,True,0.0
2017,4,5,0,True,0.0
2017,4,5,17,True,0.0
2017,5,5,0,True,0.0
2017,5,5,0,True,0.0
2017,5,4,0,True,0.0
2017,5,4,0,True,0.0
2017,5,3,9,True,0.0
2017,5,3,9,True,0.0
2017,5,4,0,True,0.0
2017,5,4,0,True,0.0
2017,5,4,0,True,0.0
2017,5,4,0,True,0.0
2017,5,3,14,True,0.0
2017,5,3,14,True,0.0
2017,5,3,14,True,0.0
2017,5,5,0,True,0.0
2017,5,5,17,True,0.0
2017,6,5,0,True,0.0
2017,6,5,0,True,0.0
2017,6,4,0,True,0.0
2017,6,4,0,True,0.0
2017,6,3,9,True,0.0
2017,6,3,9,True,0.0
2017,6,4,0,True,0.0
2017,6,4,0,True,0.0
2017,6,4,0,True,0.0
2017,6,4,0,True,0.0
2017,6,3,14,True,0.0
2017,6,3,14,True,0.0
2017,6,3,14,True,0.0
2017,6,5,0,True,0.0
2017,6,5,17,True,0.0
2017,7,5,0,True,0.0
2017,7,5,0,True,0.0
2017,7,4,0,True,0.0
2017,7,4,0,True,0.0
2017,7,3,9,True,0.0
2017,7,3,9,True,0.0
2017,7,4,0,True,0.0
2017,7,4,0,True,0.0
2017,7,4,0,True,0.0
2017,7,4,0,True,0.0
2017,7,3,14,True,0.0
2017,7,3,14,True,0.0
2017,7,3,14,True,0.0
2017,7,5,0,True,0.0
2017,7,5,17,True,0.0
2017,8,5,0,True,0.0
2017,8,5,0,True,0.0
2017,8,4,0,True,0.0
2017,8,4,0,True,0.0
2017,8,3,9,True,0.0
2017,8,3,9,True,0.0
2017,8,4,0,True,0.0
2017,8,4,0,True,0.0
2017,8,4,0,True,0.0
2017,8,4,0,True,0.0
2017,8,3,14,True,0.0
2017,8,3,14,True,0.0
2017,8,3,14,True,0.0
2017,8,5,0,True,0.0
2017,8,5,17,True,0.0
2017,9,5,0,True,0.0
2017,9,5,0,True,0.0
2017,9,4,0,True,0.0
2017,9,4,0,True,0.0
2017,9,3,9,True,0.0
2017,9,3,9,True,0.0
2017,9,4,0,True,0.0
2017,9,4,0,True,0.0
2017,9,4,0,True,0.0
2017,9,4,0,True,0.0
2017,9,3,14,True,0.0
2017,9,3,14,True,0.0
2017,9,3,14,True,0.0
2017,9,5,0,True,0.0
2017,9,5,17,True,0.0
2017,10,5,0,True,0.0
2017,10,5,0,True,0.0
2017,10,4,0,True,0.0
2017,10,4,0,True,0.0
2017,10,3,9,True,0.0
2017,10,3,9,True,0.0
2017,10,4,0,True,0.0
2017,10,4,0,True,0.0
2017,10,4,0,True,0.0
2017,10,4,0,True,0.0
2017,10,3,14,True,0.0
2017,10,3,14,True,0.0
2017,10,3,14,True,0.0
2017,10,5,0,True,0.0
2017,10,5,17,True,0.0
2017,11,5,0,True,0.0
2017,11,5,0,True,0.0
2017,11,4,0,True,0.0
2017,11,4,0,True,0.0
2017,11,3,9,True,0.0
2017,11,3,9,True,0.0
2017,11,4,0,True,0.0
2017,11,4,0,True,0.0
2017,11,4,0,True,0.0
2017,11,4,0,True,0.0
2017,11,3,14,True,0.0
2017,11,3,14,True,0.0
2017,11,3,14,True,0.0
2017,11,5,0,True,0.0
2017,11,5,17,True,0.0
2017,12,5,0,True,0.0
2017,12,5,0,True,0.0
2017,12,4,0,True,0.0
2017,12,4,0,True,0.0
2017,12,3,9,True,0.0
2017,12,3,9,True,0.0
2017,12,4,0,True,0.0
2017,12,4,0,True,0.0
2017,12,4,0,True,0.0
2017,12,4,0,True,0.0
2017,12,3,14,True,0.0
2017,12,3,14,True,0.0
2017,12,3,14,True,0.0
2017,12,5,0,True,0.0
2017,12,5,17,True,0.0
2018,1,5,0,True,0.0
2018,1,5,0,True,0.0
2018,1,4,0,True,0.0
2018,1,4,0,True,0.0
2018,1,3,9,True,0.0
2018,1,3,9,True,0.0
2018,1,4,0,True,0.0
2018,1,4,0,True,0.0
2018,1,4,0,True,0.0
2018,1,4,0,True,0.0
2018,1,3,14,True,0.0
2018,1,3,14,True,0.0
2018,1,3,14,True,0.0
2018,1,5,0,True,0.0
2018,1,5,17,True,0.0
2018,2,5,0,True,0.0
2018,2,5,0,True,0.0
2018,2,4,0,True,0.0
2018,2,4,0,True,0.0
2018,2,3,9,True,0.0
