anio,mes,region,prov,BIOMASA,energia_gen
2016,5,7,19,True,0.0
2016,5,6,10,True,2.3
2016,5,7,13,True,7.8
2016,6,7,19,True,0.0
2016,6,0,0,True,0.0
2016,6,7,19,True,0.6
2016,6,6,10,True,6.8
2016,6,7,13,True,8.9
2016,7,7,19,True,0.8
2016,7,0,0,True,0.0
2016,7,7,19,True,3.1
2016,7,6,10,True,5.9
2016,7,7,13,True,0.0
2016,8,7,19,True,2.0
2016,8,0,0,True,0.0
2016,8,7,19,True,2.3
2016,8,6,10,True,5.2
2016,8,7,13,True,0.7
2016,9,7,19,True,1.9
2016,9,0,0,True,0.0
2016,9,7,19,True,2.8
2016,9,6,10,True,4.1
2016,9,7,13,True,14.4
2016,10,7,19,True,1.3
2016,10,0,0,True,0.0
2016,10,7,19,True,1.6
2016,10,6,10,True,4.8
2016,10,7,13,True,14.5
2016,11,7,19,True,0.1
2016,11,0,0,True,0.0
2016,11,7,19,True,0.8
2016,11,6,10,True,4.3
2016,11,7,13,True,10.4
2016,12,7,19,True,0.0
2016,12,0,0,True,0.0
2016,12,7,19,True,0.0
2016,12,6,10,True,5.6
2016,12,7,13,True,5.8
2017,1,7,19,True,0.0
2017,1,0,0,True,0.0
2017,1,7,19,True,0.0
2017,1,6,10,True,4.2
2017,1,7,13,True,12.3
2017,2,7,19,True,0.0
2017,2,0,0,True,0.0
2017,2,7,19,True,0.0
2017,2,6,10,True,3.9
2017,2,7,13,True,14.9
2017,3,7,19,True,0.0
2017,3,0,0,True,0.0
2017,3,7,19,True,0.0
2017,3,6,10,True,4.6
2017,3,7,13,True,15.7
2017,4,7,19,True,0.0
2017,4,0,0,True,0.0
2017,4,7,19,True,0.0
2017,4,6,10,True,3.3
2017,4,7,13,True,6.9
2017,5,7,19,True,0.0
2017,5,0,0,True,0.0
2017,5,7,19,True,0.0
2017,5,6,10,True,3.2
2017,5,7,13,True,5.8
2017,6,7,19,True,0.3
2017,6,0,0,True,0.0
2017,6,7,19,True,1.5
2017,6,6,10,True,1.8
2017,6,7,13,True,18.1
2017,7,7,19,True,0.7
2017,7,0,0,True,0.0
2017,7,7,19,True,3.5
2017,7,6,10,True,4.9
2017,7,7,13,True,18.2
2017,8,7,19,True,1.5
2017,8,0,0,True,0.0
2017,8,6,10,True,0.2
2017,8,7,19,True,2.8
2017,8,6,10,True,5.9
2017,8,7,13,True,16.0
2017,9,7,19,True,1.1
2017,9,0,0,True,0.0
2017,9,6,10,True,0.9
2017,9,7,19,True,2.1
2017,9,6,10,True,6.8
2017,9,7,13,True,17.0
2017,10,7,19,True,0.4
2017,10,0,0,True,0.0
2017,10,6,10,True,0.8
2017,10,7,19,True,1.5
2017,10,6,10,True,6.0
2017,10,7,13,True,18.3
2017,11,7,19,True,0.0
2017,11,0,0,True,0.0
2017,11,6,10,True,0.9
2017,11,7,19,True,0.0
2017,11,6,10,True,5.5
2017,11,7,13,True,16.0
2017,12,7,19,True,0.0
2017,12,0,0,True,0.0
2017,12,6,10,True,1.0
2017,12,7,19,True,0.0
2017,12,6,10,True,4.5
2017,12,7,13,True,9.6
2018,1,7,19,True,0.0
2018,1,0,0,True,0.0
2018,1,6,10,True,0.6
2018,1,7,19,True,0.0
2018,1,6,10,True,4.2
2018,1,7,13,True,5.9
2018,2,7,19,True,0.0
2018,2,0,0,True,0.0
2018,2,6,10,True,1.4
2018,2,7,19,True,0.0
2018,2,6,10,True,5.5
2018,2,7,13,True,6.8
2018,3,7,19,True,0.0
2018,3,0,0,True,0.0
2018,3,6,10,True,1.5
2018,3,7,19,True,0.0
2018,3,6,10,True,5.2
2018,3,7,13,True,0.0
2018,4,7,19,True,0.0
2018,4,0,0,True,0.0
2018,4,6,10,True,1.5
2018,4,7,19,True,0.0
2018,4,6,10,True,3.2
2018,4,7,13,True,1.8
2018,5,7,19,True,0.0
2018,5,0,0,True,0.0
2018,5,6,10,True,1.4
2018,5,1,4,True,0.3
2018,5,7,19,True,0.0
2018,5,6,10,True,5.2
2018,5,7,13,True,12.7
2018,6,7,19,True,1.9
2018,6,0,0,True,0.0
2018,6,6,10,True,1.4
2018,6,1,4,True,3.2
